"skill_id","skills","demand_count","avg_salary"
0,"sql","3083","96435.33"
181,"excel","2143","86418.90"
1,"python","1840","101511.85"
182,"tableau","1659","97978.08"
5,"r","1073","98707.80"
183,"power bi","1044","92323.60"
188,"word","527","82940.76"
196,"powerpoint","524","88315.61"
186,"sas","500","93707.36"
7,"sas","500","93707.36"
61,"sql server","336","96191.42"
79,"oracle","332","100964.19"
74,"azure","319","105399.62"
76,"aws","291","106439.84"
8,"go","288","97266.97"
215,"flow","271","98019.82"
185,"looker","260","103855.35"
80,"snowflake","241","111577.72"
199,"spss","212","85292.80"
92,"spark","187","113001.94"
22,"vba","185","93844.97"
189,"sap","183","92446.21"
198,"outlook","180","80680.33"
195,"sharepoint","174","89027.16"
192,"sheets","155","84129.61"
